Grade,Year,Category,Number_Tested,Mean_Scale_Score,Number_Level_1,Percentage_Level_1,Number_Level_2,Percentage_Level_2,Number_Level_3,Percentage_Level_3,Number_Level_4,Percentage_Level_4
3,2013,ELL,12273,282,6307,51.4,4028,32.8,1487,12.1,451,3.7
3,2014,ELL,10539,283,5289,50.2,3220,30.6,1547,14.7,483,4.6
3,2015,ELL,10825,284,5578,51.5,3152,29.1,1373,12.7,722,6.7
4,2013,ELL,10554,278,5697,54,3346,31.7,1157,11,354,3.4
4,2014,ELL,10932,280,5722,52.3,3270,29.9,1329,12.2,611,5.6
4,2015,ELL,10057,279,5240,52.1,3040,30.2,1213,12.1,564,5.6
5,2013,ELL,10633,277,7317,68.8,2235,21,833,7.8,248,2.3
5,2014,ELL,9259,282,5585,60.3,2354,25.4,927,10,393,4.2
5,2015,ELL,9213,282,5543,60.2,2188,23.7,1062,11.5,420,4.6
6,2013,ELL,8434,271,5290,62.7,2385,28.3,490,5.8,269,3.2
6,2014,ELL,9533,274,5756,60.4,2712,28.4,681,7.1,384,4
6,2015,ELL,8502,274,5151,60.6,2349,27.6,626,7.4,376,4.4
7,2013,ELL,8325,270,6283,75.5,1451,17.4,455,5.5,136,1.6
7,2014,ELL,8246,274,5803,70.4,1675,20.3,596,7.2,172,2.1
7,2015,ELL,8457,274,5733,67.8,1866,22.1,635,7.5,223,2.6
8,2013,ELL,9082,275,5620,61.9,2590,28.5,659,7.3,213,2.3
8,2014,ELL,8108,273,5128,63.2,2157,26.6,590,7.3,233,2.9
8,2015,ELL,7784,274,4962,63.7,2017,25.9,534,6.9,271,3.5
All Grades,2013,ELL,59301,276,36514,61.6,16035,27,5081,8.6,1671,2.8
All Grades,2014,ELL,56617,278,33283,58.8,15388,27.2,5670,10,2276,4
All Grades,2015,ELL,54838,278,32207,58.7,14612,26.6,5443,9.9,2576,4.7
3,2013,EP,56148,302,16612,29.6,19371,34.5,12049,21.5,8116,14.5
3,2014,EP,56165,304,15382,27.4,17367,30.9,14012,24.9,9404,16.7
3,2015,EP,55145,305,15145,27.5,17122,31,12602,22.9,10276,18.6
4,2013,EP,56966,303,15826,27.8,19235,33.8,12934,22.7,8971,15.7
4,2014,EP,56774,307,14728,25.9,17292,30.5,12857,22.6,11897,21
4,2015,EP,57466,305,15536,27,17524,30.5,12682,22.1,11724,20.4
5,2013,EP,54835,303,20701,37.8,16006,29.2,11809,21.5,6319,11.5
5,2014,EP,55459,311,16258,29.3,15577,28.1,13445,24.2,10179,18.4
5,2015,EP,53987,312,15149,28.1,14601,27,14030,26,10207,18.9
6,2013,EP,55140,301,16315,29.6,21018,38.1,9298,16.9,8509,15.4
6,2014,EP,54249,305,15326,28.3,18434,34,9758,18,10731,19.8
6,2015,EP,54146,306,15291,28.2,17512,32.3,10131,18.7,11212,20.7
7,2013,EP,57792,300,23109,40,18413,31.9,10693,18.5,5577,9.7
7,2014,EP,56240,304,19982,35.5,17680,31.4,11874,21.1,6704,11.9
7,2015,EP,54295,307,17353,32,17215,31.7,11723,21.6,8004,14.7
8,2013,EP,58077,300,19431,33.5,22154,38.1,10902,18.8,5590,9.6
8,2014,EP,49442,297,17724,35.8,19391,39.2,8636,17.5,3691,7.5
8,2015,EP,47197,296,17679,37.5,17978,38.1,7405,15.7,4135,8.8
All Grades,2013,EP,338958,302,111994,33,116197,34.3,67685,20,43082,12.7
All Grades,2014,EP,328329,305,99400,30.3,105741,32.2,70582,21.5,52606,16
All Grades,2015,EP,322236,305,96153,29.8,101952,31.6,68573,21.3,55558,17.2
3,2013,Former ELL,4505,312,697,15.5,1738,38.6,1270,28.2,800,17.8
3,2014,Former ELL,6004,309,1140,19,2217,36.9,1783,29.7,864,14.4
3,2015,Former ELL,5681,311,1009,17.8,2041,35.9,1616,28.4,1015,17.9
4,2013,Former ELL,3684,310,611,16.6,1403,38.1,1064,28.9,606,16.4
4,2014,Former ELL,3115,317,416,13.4,1087,34.9,893,28.7,719,23.1
4,2015,Former ELL,3574,310,634,17.7,1312,36.7,932,26.1,696,19.5
5,2013,Former ELL,3807,307,1217,32,1307,34.3,912,24,371,9.7
5,2014,Former ELL,4015,312,950,23.7,1381,34.4,1130,28.1,554,13.8
5,2015,Former ELL,4040,314,831,20.6,1428,35.3,1211,30,570,14.1
6,2013,Former ELL,5164,300,1363,26.4,2561,49.6,785,15.2,455,8.8
6,2014,Former ELL,3474,305,817,23.5,1496,43.1,659,19,502,14.5
6,2015,Former ELL,3228,304,821,25.4,1368,42.4,595,18.4,444,13.8
7,2013,Former ELL,4188,294,1978,47.2,1503,35.9,551,13.2,156,3.7
7,2014,Former ELL,3605,300,1381,38.3,1413,39.2,615,17.1,196,5.4
7,2015,Former ELL,3507,303,1161,33.1,1394,39.7,663,18.9,289,8.2
8,2013,Former ELL,2331,301,713,30.6,1091,46.8,347,14.9,180,7.7
8,2014,Former ELL,2325,296,866,37.2,979,42.1,361,15.5,119,5.1
8,2015,Former ELL,2018,298,715,35.4,851,42.2,293,14.5,159,7.9
All Grades,2013,Former ELL,23679,304,6579,27.8,9603,40.6,4929,20.8,2568,10.8
All Grades,2014,Former ELL,22538,307,5570,24.7,8573,38,5441,24.1,2954,13.1
All Grades,2015,Former ELL,22048,308,5171,23.5,8394,38.1,5310,24.1,3173,14.4
3,2013,Asian,11918,323,1308,11,3223,27,3637,30.5,3750,31.5
3,2014,Asian,11625,325,1153,9.9,2660,22.9,3896,33.5,3916,33.7
3,2015,Asian,11999,326,1217,10.1,2819,23.5,3510,29.3,4453,37.1
4,2013,Asian,11354,325,1128,9.9,2774,24.4,3569,31.4,3883,34.2
4,2014,Asian,11755,333,1008,8.6,2334,19.9,3299,28.1,5114,43.5
4,2015,Asian,11622,331,1043,9,2412,20.8,3225,27.7,4942,42.5
5,2013,Asian,11057,327,1685,15.2,2567,23.2,3567,32.3,3238,29.3
5,2014,Asian,11324,334,1172,10.3,2174,19.2,3451,30.5,4527,40
5,2015,Asian,11721,337,1153,9.8,1985,16.9,3680,31.4,4903,41.8
6,2013,Asian,10776,326,1123,10.4,2972,27.6,2645,24.5,4036,37.5
6,2014,Asian,10778,332,1004,9.3,2450,22.7,2454,22.8,4870,45.2
6,2015,Asian,11090,332,1050,9.5,2497,22.5,2576,23.2,4967,44.8
7,2013,Asian,11375,325,1770,15.6,3077,27.1,3444,30.3,3084,27.1
7,2014,Asian,10819,329,1405,13,2479,22.9,3569,33,3366,31.1
7,2015,Asian,10760,333,1196,11.1,2262,21,3345,31.1,3957,36.8
8,2013,Asian,10821,327,1226,11.3,3103,28.7,3359,31,3133,29
8,2014,Asian,8164,323,1206,14.8,2468,30.2,2459,30.1,2031,24.9
8,2015,Asian,7768,325,1109,14.3,2414,31.1,2065,26.6,2180,28.1
All Grades,2013,Asian,67301,325,8240,12.2,17716,26.3,20221,30,21124,31.4
All Grades,2014,Asian,64465,330,6948,10.8,14565,22.6,19128,29.7,23824,37
All Grades,2015,Asian,64960,331,6768,10.4,14389,22.2,18401,28.3,25402,39.1
3,2013,Black,18131,286,8249,45.5,6517,35.9,2566,14.2,799,4.4
3,2014,Black,17348,288,7566,43.6,5854,33.7,2947,17,981,5.7
3,2015,Black,16365,289,6993,42.7,5439,33.2,2745,16.8,1188,7.3
4,2013,Black,18018,286,7931,44,6524,36.2,2666,14.8,897,5
4,2014,Black,17132,288,7254,42.3,5805,33.9,2793,16.3,1280,7.5
4,2015,Black,16691,285,7413,44.4,5635,33.8,2544,15.2,1099,6.6
5,2013,Black,18093,287,10111,55.9,5174,28.6,2282,12.6,526,2.9
5,2014,Black,16778,293,7897,47.1,5184,30.9,2696,16.1,1001,6
5,2015,Black,15738,292,7317,46.5,4868,30.9,2779,17.7,774,4.9
6,2013,Black,18860,285,8629,45.8,7347,39,2052,10.9,832,4.4
6,2014,Black,17522,286,7925,45.2,6445,36.8,2091,11.9,1061,6.1
6,2015,Black,15862,285,7446,46.9,5446,34.3,1978,12.5,992,6.3
7,2013,Black,19699,283,11821,60,5717,29,1820,9.2,341,1.7
7,2014,Black,18439,287,10078,54.7,5808,31.5,2098,11.4,455,2.5
7,2015,Black,17085,288,8699,50.9,5615,32.9,2147,12.6,624,3.7
8,2013,Black,20003,284,10089,50.4,7463,37.3,2067,10.3,384,1.9
8,2014,Black,17452,282,8988,51.5,6432,36.9,1663,9.5,369,2.1
8,2015,Black,16398,282,8745,53.3,5731,34.9,1503,9.2,419,2.6
All Grades,2013,Black,112804,285,56830,50.4,38742,34.3,13453,11.9,3779,3.4
All Grades,2014,Black,104671,287,49708,47.5,35528,33.9,14288,13.7,5147,4.9
All Grades,2015,Black,98139,287,46613,47.5,32734,33.4,13696,14,5096,5.2
3,2013,Hispanic,29706,290,11932,40.2,11285,38,4788,16.1,1701,5.7
3,2014,Hispanic,30362,293,11068,36.5,10830,35.7,6259,20.6,2205,7.3
3,2015,Hispanic,29927,293,11511,38.5,10417,34.8,5451,18.2,2548,8.5
4,2013,Hispanic,29055,290,11127,38.3,10969,37.8,5112,17.6,1847,6.4
4,2014,Hispanic,28978,293,10797,37.3,10186,35.2,5283,18.2,2712,9.4
4,2015,Hispanic,29846,292,11105,37.2,10579,35.4,5437,18.2,2725,9.1
5,2013,Hispanic,28227,289,14693,52.1,8400,29.8,4170,14.8,964,3.4
5,2014,Hispanic,28104,297,11628,41.4,8915,31.7,5401,19.2,2160,7.7
5,2015,Hispanic,27585,297,11192,40.6,8507,30.8,5865,21.3,2021,7.3
6,2013,Hispanic,27980,288,11380,40.7,11743,42,3331,11.9,1526,5.5
6,2014,Hispanic,27559,289,11236,40.8,10342,37.5,3894,14.1,2087,7.6
6,2015,Hispanic,26980,290,10890,40.4,9822,36.4,4004,14.8,2264,8.4
7,2013,Hispanic,28062,287,15121,53.9,9007,32.1,3303,11.8,631,2.2
7,2014,Hispanic,27725,291,13454,48.5,9279,33.5,4094,14.8,898,3.2
7,2015,Hispanic,27192,292,12366,45.5,9454,34.8,4150,15.3,1222,4.5
8,2013,Hispanic,28061,288,12495,44.5,11181,39.8,3563,12.7,822,2.9
8,2014,Hispanic,25668,287,11597,45.2,10098,39.3,3267,12.7,706,2.8
8,2015,Hispanic,24718,287,11507,46.6,9519,38.5,2794,11.3,898,3.6
All Grades,2013,Hispanic,171091,289,76748,44.9,62585,36.6,24267,14.2,7491,4.4
All Grades,2014,Hispanic,168396,292,69780,41.4,59650,35.4,28198,16.7,10768,6.4
All Grades,2015,Hispanic,166248,292,68571,41.2,58298,35.1,27701,16.7,11678,7
3,2013,White,12034,316,1850,15.4,3750,31.2,3548,29.5,2886,24
3,2014,White,11883,319,1688,14.2,3023,25.4,3857,32.5,3315,27.9
3,2015,White,11677,319,1641,14.1,3159,27.1,3436,29.4,3441,29.5
4,2013,White,11754,318,1689,14.4,3360,28.6,3571,30.4,3134,26.7
4,2014,White,11694,322,1542,13.2,2973,25.4,3404,29.1,3775,32.3
4,2015,White,11438,322,1518,13.3,2816,24.6,3279,28.7,3825,33.4
5,2013,White,11049,316,2434,22,3175,28.7,3345,30.3,2095,19
5,2014,White,11394,324,1806,15.9,2737,24,3646,32,3205,28.1
5,2015,White,10954,326,1580,14.4,2538,23.2,3651,33.3,3185,29.1
6,2013,White,10302,316,1599,15.5,3589,34.8,2420,23.5,2694,26.2
6,2014,White,10390,320,1442,13.9,3096,29.8,2474,23.8,3378,32.5
6,2015,White,10634,321,1557,14.6,3047,28.7,2537,23.9,3493,32.8
7,2013,White,10359,315,2338,22.6,3344,32.3,2971,28.7,1706,16.5
7,2014,White,10166,320,1904,18.7,2916,28.7,3125,30.7,2221,21.8
7,2015,White,10187,323,1639,16.1,2836,27.8,3162,31,2550,25
8,2013,White,9751,315,1634,16.8,3797,38.9,2758,28.3,1562,16
8,2014,White,7772,310,1584,20.4,3241,41.7,2059,26.5,888,11.4
8,2015,White,7272,309,1691,23.3,2871,39.5,1713,23.6,997,13.7
All Grades,2013,White,65249,316,11544,17.7,21015,32.2,18613,28.5,14077,21.6
All Grades,2014,White,63299,320,9966,15.7,17986,28.4,18565,29.3,16782,26.5
All Grades,2015,White,62162,321,9626,15.5,17267,27.8,17778,28.6,17491,28.1
3,2013,Female,35415,300,11179,31.6,12601,35.6,7266,20.5,4369,12.3
3,2014,Female,35159,302,10116,28.8,11397,32.4,8524,24.2,5122,14.6
3,2015,Female,34986,303,10288,29.4,11335,32.4,7715,22.1,5648,16.1
4,2013,Female,34614,300,10257,29.6,12219,35.3,7575,21.9,4563,13.2
4,2014,Female,34588,304,9806,28.4,10828,31.3,7619,22,6335,18.3
4,2015,Female,34592,302,10140,29.3,10864,31.4,7437,21.5,6151,17.8
5,2013,Female,33971,301,13770,40.5,10066,29.6,6837,20.1,3298,9.7
5,2014,Female,33409,308,10329,30.9,9811,29.4,7878,23.6,5391,16.1
5,2015,Female,32839,309,9795,29.8,9380,28.6,8353,25.4,5311,16.2
6,2013,Female,33463,299,10655,31.8,12872,38.5,5299,15.8,4637,13.9
6,2014,Female,32909,303,9808,29.8,11406,34.7,5747,17.5,5948,18.1
6,2015,Female,31941,304,9464,29.6,10512,32.9,5849,18.3,6116,19.1
7,2013,Female,34012,297,14663,43.1,10655,31.3,5923,17.4,2771,8.1
7,2014,Female,33128,302,12577,38,10427,31.5,6613,20,3511,10.6
7,2015,Female,32390,305,11061,34.1,10264,31.7,6699,20.7,4366,13.5
8,2013,Female,33637,299,11567,34.4,13023,38.7,6020,17.9,3027,9
8,2014,Female,28324,295,10689,37.7,10874,38.4,4767,16.8,1994,7
8,2015,Female,27166,296,10404,38.3,10342,38.1,4123,15.2,2297,8.5
All Grades,2013,Female,205112,299,72091,35.1,71436,34.8,38920,19,22665,11.1
All Grades,2014,Female,197517,303,63325,32.1,64743,32.8,41148,20.8,28301,14.3
All Grades,2015,Female,193914,303,61152,31.5,62697,32.3,40176,20.7,29889,15.4
3,2013,Male,37503,299,12432,33.1,12534,33.4,7539,20.1,4998,13.3
3,2014,Male,37527,301,11677,31.1,11403,30.4,8818,23.5,5629,15
3,2015,Male,36665,302,11444,31.2,10980,29.9,7876,21.5,6365,17.4
4,2013,Male,36545,299,11851,32.4,11749,32.1,7577,20.7,5368,14.7
4,2014,Male,36214,303,11047,30.5,10817,29.9,7459,20.6,6891,19
4,2015,Male,36505,302,11270,30.9,11012,30.2,7390,20.2,6833,18.7
5,2013,Male,35290,298,15454,43.8,9479,26.9,6717,19,3640,10.3
5,2014,Male,35306,305,12449,35.3,9498,26.9,7624,21.6,5735,16.2
5,2015,Male,34401,307,11728,34.1,8837,25.7,7950,23.1,5886,17.1
6,2013,Male,35258,296,12300,34.9,13088,37.1,5274,15,4596,13
6,2014,Male,34330,298,12079,35.2,11231,32.7,5351,15.6,5669,16.5
6,2015,Male,33935,299,11799,34.8,10717,31.6,5503,16.2,5916,17.4
7,2013,Male,36273,295,16691,46,10709,29.5,5776,15.9,3097,8.5
7,2014,Male,34947,299,14577,41.7,10338,29.6,6471,18.5,3561,10.2
7,2015,Male,33869,300,13186,38.9,10211,30.1,6322,18.7,4150,12.3
8,2013,Male,35829,295,14178,39.6,12808,35.7,5887,16.4,2956,8.3
8,2014,Male,31534,292,13017,41.3,11649,36.9,4819,15.3,2049,6.5
8,2015,Male,29833,291,12952,43.4,10504,35.2,4109,13.8,2268,7.6
All Grades,2013,Male,216698,297,82906,38.3,70367,32.5,38770,17.9,24655,11.4
All Grades,2014,Male,209858,300,74846,35.7,64936,30.9,40542,19.3,29534,14.1
All Grades,2015,Male,205208,300,72379,35.3,62261,30.3,39150,19.1,31418,15.3
3,2013,Not SWD,59876,304,16120,26.9,21350,35.7,13526,22.6,8880,14.8
3,2014,Not SWD,57748,307,13854,24,18584,32.2,15337,26.6,9973,17.3
3,2015,Not SWD,56928,308,13456,23.6,18343,32.2,13900,24.4,11229,19.7
4,2013,Not SWD,57086,306,13666,23.9,20093,35.2,13855,24.3,9472,16.6
4,2014,Not SWD,55649,311,12176,21.9,17447,31.4,13501,24.3,12525,22.5
4,2015,Not SWD,55372,309,12436,22.5,17458,31.5,13191,23.8,12287,22.2
5,2013,Not SWD,55755,306,19567,35.1,16898,30.3,12605,22.6,6685,12
5,2014,Not SWD,53938,315,13449,24.9,15752,29.2,14130,26.2,10607,19.7
5,2015,Not SWD,52290,316,12174,23.3,14694,28.1,14689,28.1,10733,20.5
6,2013,Not SWD,55534,305,14202,25.6,22327,40.2,9998,18,9007,16.2
6,2014,Not SWD,53277,308,12913,24.2,18928,35.5,10278,19.3,11158,20.9
6,2015,Not SWD,51947,310,12178,23.4,17596,33.9,10524,20.3,11649,22.4
7,2013,Not SWD,57319,303,21312,37.2,19016,33.2,11223,19.6,5768,10.1
7,2014,Not SWD,54288,308,16983,31.3,17959,33.1,12395,22.8,6951,12.8
7,2015,Not SWD,52734,310,14740,28,17419,33,12257,23.2,8318,15.8
8,2013,Not SWD,56908,304,16696,29.3,22903,40.2,11419,20.1,5890,10.4
8,2014,Not SWD,46956,301,14697,31.3,19329,41.2,8986,19.1,3944,8.4
8,2015,Not SWD,44251,301,14119,31.9,17962,40.6,7718,17.4,4452,10.1
All Grades,2013,Not SWD,342478,304,101563,29.7,122587,35.8,72626,21.2,45702,13.3
All Grades,2014,Not SWD,321856,308,84072,26.1,107999,33.6,74627,23.2,55158,17.1
All Grades,2015,Not SWD,313522,310,79103,25.2,103472,33,72279,23.1,58668,18.7
3,2013,SWD,13050,277,7496,57.4,3787,29,1280,9.8,487,3.7
3,2014,SWD,14960,280,7957,53.2,4220,28.2,2005,13.4,778,5.2
3,2015,SWD,14723,279,8276,56.2,3972,27,1691,11.5,784,5.3
4,2013,SWD,14118,274,8468,60,3891,27.6,1300,9.2,459,3.3
4,2014,SWD,15172,275,8690,57.3,4202,27.7,1578,10.4,702,4.6
4,2015,SWD,15725,275,8974,57.1,4418,28.1,1636,10.4,697,4.4
5,2013,SWD,13520,273,9668,71.5,2650,19.6,949,7,253,1.9
5,2014,SWD,14795,279,9344,63.2,3560,24.1,1372,9.3,519,3.5
5,2015,SWD,14950,279,9349,62.5,3523,23.6,1614,10.8,464,3.1
6,2013,SWD,13204,268,8766,66.4,3637,27.5,575,4.4,226,1.7
6,2014,SWD,13979,270,8986,64.3,3714,26.6,820,5.9,459,3.3
6,2015,SWD,13929,269,9085,65.2,3633,26.1,828,5.9,383,2.7
7,2013,SWD,12986,267,10058,77.5,2351,18.1,476,3.7,101,0.8
7,2014,SWD,13803,272,10183,73.8,2809,20.4,690,5,121,0.9
7,2015,SWD,13525,272,9507,70.3,3056,22.6,764,5.6,198,1.5
8,2013,SWD,12582,266,9068,72.1,2932,23.3,489,3.9,93,0.7
8,2014,SWD,12919,267,9021,69.8,3198,24.8,601,4.7,99,0.8
8,2015,SWD,12748,265,9237,72.5,2884,22.6,514,4,113,0.9
All Grades,2013,SWD,79460,271,53524,67.4,19248,24.2,5069,6.4,1619,2
All Grades,2014,SWD,85628,274,54181,63.3,21703,25.3,7066,8.3,2678,3.1
All Grades,2015,SWD,85600,273,54428,63.6,21486,25.1,7047,8.2,2639,3.1
